,User1,User2,User3,User4,User5,User6,User7,User8,User9,User10,H,P,sum_rate
0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,H_1.h5,P_1.h5,23.516407948430462
1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,H_2.h5,P_2.h5,18.734752624400826
2,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,H_3.h5,P_3.h5,11.070492439883578
3,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,H_4.h5,P_4.h5,13.418563242756251
4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,H_5.h5,P_5.h5,10.37822504172959
5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,H_6.h5,P_6.h5,20.142573817828684
6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,H_7.h5,P_7.h5,11.734544553372624
7,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,H_8.h5,P_8.h5,12.103846474841237
8,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,H_9.h5,P_9.h5,22.389628427328276
9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,H_10.h5,P_10.h5,16.072576979520946
10,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,H_11.h5,P_11.h5,11.858327729652538
11,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,H_12.h5,P_12.h5,18.220770128436197
12,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,H_13.h5,P_13.h5,19.41387621274604
13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,H_14.h5,P_14.h5,14.357654970480487
14,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,H_15.h5,P_15.h5,15.986555930272877
15,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,H_16.h5,P_16.h5,9.173798274771457
16,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,H_17.h5,P_17.h5,16.183787014687518
17,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,H_18.h5,P_18.h5,14.763171652668735
18,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,H_19.h5,P_19.h5,13.628848190155995
19,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,H_20.h5,P_20.h5,18.089088841587472
20,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,H_21.h5,P_21.h5,18.93998066254377
21,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,H_22.h5,P_22.h5,14.37982228541488
22,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,H_23.h5,P_23.h5,15.322089614881495
23,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,H_24.h5,P_24.h5,12.19247442759827
24,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,H_25.h5,P_25.h5,15.693768122444506
25,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,H_26.h5,P_26.h5,13.10810149601985
26,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,H_27.h5,P_27.h5,13.348070253658047
27,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,H_28.h5,P_28.h5,18.101902046687105
28,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,H_29.h5,P_29.h5,14.277869851000352
29,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,H_30.h5,P_30.h5,13.595608852126329
30,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,H_31.h5,P_31.h5,15.341987145980985
31,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,H_32.h5,P_32.h5,16.84500865271384
32,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,H_33.h5,P_33.h5,10.614812986513485
33,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,H_34.h5,P_34.h5,12.052352491736734
34,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,H_35.h5,P_35.h5,10.704632547833015
35,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,H_36.h5,P_36.h5,15.486776988139832
